Seizoen;Datum;Thuisclub;Uitclub;Thuisscore;Uitscore
2000-2001;18/08/2000;Sparta;Roda JC;2;2
2000-2001;19/08/2000;De Graafschap;PSV;2;0
2000-2001;19/08/2000;Feyenoord;AZ;2;0
2000-2001;19/08/2000;NAC;RKC Waalwijk;0;1
2000-2001;20/08/2000;FC Groningen;Willem II;1;1
2000-2001;20/08/2000;FC Utrecht;SC Heerenveen;2;0
2000-2001;20/08/2000;RBC Roosendaal;NEC;2;3
2000-2001;20/08/2000;Vitesse;FC Twente;3;1
2000-2001;22/08/2000;Ajax;Fortuna Sittard;5;0
2000-2001;23/08/2000;FC Groningen;NEC;4;4
2000-2001;26/08/2000;AZ;RBC Roosendaal;3;0
2000-2001;26/08/2000;De Graafschap;Roda JC;1;3
2000-2001;26/08/2000;Fortuna Sittard;SC Heerenveen;0;2
2000-2001;26/08/2000;NAC;FC Groningen;5;1
2000-2001;26/08/2000;Willem II;RKC Waalwijk;2;0
2000-2001;27/08/2000;FC Twente;Feyenoord;1;2
2000-2001;27/08/2000;FC Utrecht;PSV;1;3
2000-2001;27/08/2000;NEC;Vitesse;4;1
2000-2001;27/08/2000;Sparta;Ajax;3;0
2000-2001;03/09/2000;RKC Waalwijk;RBC Roosendaal;2;1
2000-2001;05/09/2000;PSV;Willem II;2;2
2000-2001;06/09/2000;Ajax;NEC;0;0
2000-2001;06/09/2000;FC Groningen;De Graafschap;1;0
2000-2001;06/09/2000;FC Twente;SC Heerenveen;2;2
2000-2001;06/09/2000;NAC;Roda JC;1;1
2000-2001;06/09/2000;RKC Waalwijk;AZ;3;0
2000-2001;06/09/2000;Vitesse;Sparta;5;1
2000-2001;08/09/2000;Fortuna Sittard;PSV;0;3
2000-2001;09/09/2000;Ajax;FC Groningen;3;1
2000-2001;09/09/2000;De Graafschap;AZ;4;2
2000-2001;09/09/2000;Feyenoord;RKC Waalwijk;3;1
2000-2001;09/09/2000;Roda JC;FC Twente;2;2
2000-2001;09/09/2000;SC Heerenveen;NAC;2;1
2000-2001;09/09/2000;Willem II;Vitesse;2;2
2000-2001;10/09/2000;NEC;FC Utrecht;1;1
2000-2001;10/09/2000;Sparta;RBC Roosendaal;3;5
2000-2001;13/09/2000;NAC;RBC Roosendaal;2;1
2000-2001;16/09/2000;NAC;De Graafschap;3;0
2000-2001;16/09/2000;PSV;Sparta;2;1
2000-2001;17/09/2000;AZ;Ajax;3;2
2000-2001;17/09/2000;FC Utrecht;FC Twente;1;2
2000-2001;17/09/2000;NEC;Fortuna Sittard;1;1
2000-2001;17/09/2000;RBC Roosendaal;FC Groningen;0;2
2000-2001;17/09/2000;Vitesse;RKC Waalwijk;1;0
2000-2001;22/09/2000;Ajax;RBC Roosendaal;2;0
2000-2001;23/09/2000;Fortuna Sittard;Vitesse;1;4
2000-2001;24/09/2000;FC Groningen;FC Utrecht;1;3
2000-2001;24/09/2000;FC Twente;De Graafschap;3;1
2000-2001;24/09/2000;NAC;Willem II;2;0
2000-2001;24/09/2000;RKC Waalwijk;NEC;0;0
2000-2001;01/10/2000;De Graafschap;Feyenoord;2;3
2000-2001;01/10/2000;FC Groningen;PSV;0;1
2000-2001;01/10/2000;RKC Waalwijk;FC Twente;1;1
2000-2001;01/10/2000;Roda JC;AZ;4;2
2000-2001;01/10/2000;Sparta;Willem II;1;2
2000-2001;01/10/2000;Vitesse;FC Utrecht;2;1
2000-2001;02/10/2000;SC Heerenveen;Ajax;2;2
2000-2001;13/10/2000;AZ;NAC;3;1
2000-2001;14/10/2000;FC Twente;Fortuna Sittard;1;1
2000-2001;14/10/2000;PSV;NEC;0;0
2000-2001;14/10/2000;Roda JC;FC Groningen;2;0
2000-2001;14/10/2000;SC Heerenveen;RKC Waalwijk;1;1
2000-2001;14/10/2000;Willem II;FC Utrecht;6;2
2000-2001;15/10/2000;RBC Roosendaal;De Graafschap;2;4
2000-2001;15/10/2000;Sparta;Feyenoord;1;4
2000-2001;15/10/2000;Vitesse;Ajax;3;2
2000-2001;20/10/2000;Ajax;Roda JC;4;2
2000-2001;21/10/2000;De Graafschap;Willem II;1;1
2000-2001;21/10/2000;FC Twente;Sparta;3;1
2000-2001;21/10/2000;Feyenoord;SC Heerenveen;2;0
2000-2001;22/10/2000;AZ;Vitesse;0;2
2000-2001;22/10/2000;FC Groningen;Fortuna Sittard;4;0
2000-2001;22/10/2000;FC Utrecht;RBC Roosendaal;5;3
2000-2001;27/10/2000;AZ;FC Twente;5;0
2000-2001;27/10/2000;Fortuna Sittard;NAC;1;2
2000-2001;28/10/2000;SC Heerenveen;De Graafschap;1;0
2000-2001;29/10/2000;FC Utrecht;Feyenoord;1;1
